"","ID","이름","분류번호","대권역","수계","중권역","수질목표","주소","위도.DMS도.","위도.DMS분.","위도.DMS초.","경도.DMS도.","경도.DMS분.","경도.DMS초.","lat","long","RCH_ID","본.지류","하천.호소","수량","총량","자동","퇴적물","방사성","예보","주요","중권역.1","보대","조사기관","TN","x","y","type"
"미호천7","미호천7","","3011A32","금강","금강","미호천","","충청북도 진천군 문백면 구곡리 (농다리)",36,49,27.52,127,29,44.68,36.82431111,127.4957444,30110801,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강유역환경청",2.28538888888889,127.4957444,36.82431111,"small"
"초평천","초평천","","3011A35","금강","금강","미호천","","충청북도 진천군 초평면 용정리 (용정교)",36,50,32.32,127,31,25.64,36.84231111,127.5237889,30110603,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",4.90239215686274,127.5237889,36.84231111,"large"
"미호천3","미호천3","미호A","3011A40","금강","금강","미호천","","충청북도 청주시 청원구 오창읍 여천리 (여암교)",36,46,9.59,127,30,43.56,36.76933056,127.5121,30110803,"지","하천",1,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",1.32516,127.5121,36.76933056,"large"
"보강천1","보강천1","미호B1","3011A43","금강","금강","미호천","","충청북도 증평군 증평읍 초중리 (증평대교)",36,47,3.13,127,34,59.42,36.78420278,127.5831722,30110705,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",3.21709561752988,127.5831722,36.78420278,"large"
"보강천","보강천","","3011A45","금강","금강","미호천","","충청북도 증평군 증평읍 연탄리 (반탄교)
",36,46,52.5,127,34,29.21,36.78125,127.5747806,30110707,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",3.13376923076923,127.5747806,36.78125,"large"
"성암천","성암천","미호B2","3011A48","금강","금강","미호천","","충청북도 진천군 문백면 도하리 (모정교)",36,44,24.68,127,28,4.7,36.74018889,127.4679722,30110805,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.10533333333333,127.4679722,36.74018889,"small"
"무심천","무심천","무심A1","3011A53","금강","금강","미호천","","충청북도 청주시 상당구 남일면 신송리 (신송교)",36,34,55.61,127,30,15.69,36.58211389,127.5043583,30111003,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.90913147410359,127.5043583,36.58211389,"large"
"무심천1","무심천1","","3011A55","금강","금강","미호천","","충청북도 청주시 상당구 영운동(영운동취수장)",36,36,55.7,127,29,44.76,36.61547222,127.4957667,30111007,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소(2017년)",3.54749442379182,127.4957667,36.61547222,"large"
"무심천2","무심천2","","3011A60","금강","금강","미호천","","충청북도 청주시 상당구 서문동 (서문대교)",36,37,58.16,127,29,9.22,36.63282222,127.4858944,30111011,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",2.31148611111111,127.4858944,36.63282222,"small"
"무심천3","무심천3","무심A","3011A65","금강","금강","미호천","","충청북도 청주시 흥덕구 문암동 (철교,미호천합류1km전)",36,40,4.23,127,27,47.59,36.66784167,127.4632194,30111013,"지","하천",1,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.21104166666667,127.4632194,36.66784167,"small"
"석남천","석남천","미호B4","3011A68","금강","금강","미호천","","충청북도 청주시 흥덕구 강서동 (신대교)",36,39,23.65,127,23,24.66,36.65656944,127.3901833,30111304,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",3.85856944444444,127.3901833,36.65656944,"small"
"미호천8","미호천8","","3011A70","금강","금강","미호천","","충청북도 청주시 옥산면 신촌리 (옥산교)",36,39,19.05,127,23,8.5,36.65529167,127.3856944,30111305,"지","하천",1,NA,NA,NA,1,NA,NA,NA,NA,"금강유역환경청",1.70772908366534,127.3856944,36.65529167,"large"
"병천천A","병천천A","병천A","3011A78","금강","금강","미호천","","충청북도 청주시 오창읍 성재리 (강정마을입구잠수교)",36,43,17.63,127,19,43.02,36.72156389,127.3286167,30111209,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",1.70812857142857,127.3286167,36.72156389,"small"
"용두천","용두천","미호B3","3011A79","금강","금강","미호천","","충청남도 천안시 동남구 동면 화덕리652 (세월교)",36,45,28.09,127,23,50.07,36.75780278,127.3972417,30111210,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",4.01393055555556,127.3972417,36.75780278,"small"
"병천천","병천천","","3011A80","금강","금강","미호천","","충청북도 청주시 오송읍 쌍청리 (쌍청교)",36,38,14.15,127,21,1.57,36.63726389,127.3504361,30111211,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",3.08624285714286,127.3504361,36.63726389,"small"
"미호천5","미호천5","","3011A82","금강","금강","미호천","","충청북도 청주시 오송읍 궁평리 (미호천교)",36,37,17.24,127,21,7.51,36.62145556,127.3520861,30111305,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강유역환경청",2.95752777777778,127.3520861,36.62145556,"small"
"미호천5A","미호천5A","미호B","3011A84","금강","금강","미호천","","세종특별자치시 연동면 예양리 (미호교)",36,34,55.88,127,18,59.57,36.58218889,127.3165472,30111503,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.3865,127.3165472,36.58218889,"small"
"조천","조천","","3011A85","금강","금강","미호천","","세종특별자치시 조치원 읍상리 (조천교)",36,35,51.23,127,18,36.43,36.59756389,127.3101194,30111413,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",10.9833784860558,127.3101194,36.59756389,"large"
"조천1","조천1","미호C1","3011A87","금강","금강","미호천","","세종특별자치시 조치원 읍번암리 (세월교)",36,35,3.63,127,18,4.62,36.58434167,127.3012833,30111413,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",4.78186852589641,127.3012833,36.58434167,"large"
"월하천","월하천","","3011A90","금강","금강","미호천","","세종특별자치시 연서면 봉암리 (월암교)",36,34,5.78,127,17,15.96,36.56827222,127.2877667,30111511,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강유역환경청",3.11918055555556,127.2877667,36.56827222,"small"
"미호천6-1","미호천6-1","미호C","3011A97","금강","금강","미호천","III","세종특별자치시 연기면 세종리 (월산교)",36,31,19.44,127,19,15.83,36.52206667,127.3210639,30111522,"지","하천",1,1,1,1,1,1,1,1,NA,"금강물환경연구소",1.79059722222222,127.3210639,36.52206667,"small"
"연기","연기","금본H","3012A05","금강","금강","금강공주","","세종특별자치시 연기면 세종리 (금남교)",36,28,40.73,127,16,15.48,36.47798056,127.2709667,30120110,"본","하천",1,1,1,1,NA,1,NA,NA,1,"금강물환경연구소",2.23575697211155,127.2709667,36.47798056,"large"
"금남","금남","","3012A07","금강","금강","금강공주","","세종특별자치시 연기면 세종리(세종보상류500m)",36,28,6.42,127,15,47.87,36.46845,127.2632972,30120111,"본","하천",1,1,1,NA,NA,1,NA,NA,NA,"금강물환경연구소(2017년)",4.45817142857143,127.2632972,36.46845,"small"
"용수천-1","용수천-1","금본H1","3012A08","금강","금강","금강공주","","충청남도 공주시 반포면 국곡리(세월교)",36,25,26.83,127,16,45.07,36.42411944,127.2791861,30120213,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.54284722222222,127.2791861,36.42411944,"small"
"용수천","용수천","","3012A10","금강","금강","금강공주","","세종특별자치시 금남면 성덕리 (성덕교)",36,27,10.77,127,16,40.4,36.45299167,127.2778889,30120219,"지","하천",1,NA,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",2.04254166666667,127.2778889,36.45299167,"small"
"대교천","대교천","","3012A15","금강","금강","금강공주","","세종특별자치시 장군면 도계리 (대교)",36,29,38.39,127,12,47.58,36.49399722,127.2132167,30120316,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",1.52765277777778,127.2132167,36.49399722,"small"
"대교천2","대교천2","","3012A17","금강","금강","금강공주","","세종특별자치시 연기면 세종리 (송학교)",36,27,55.63,127,14,30.11,36.46545278,127.2416972,30120319,"지","하천",NA,1,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",2.18725498007968,127.2416972,36.46545278,"large"
"세종2","세종2","금본H-1","3012A19","금강","금강","금강공주","","세종특별자치시 장군면 석장리",36,26,29.98,127,11,46,36.44166111,127.1961111,30120409,"본","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.384625,127.1961111,36.44166111,"small"
"공주1","공주1","","3012A20","금강","금강","금강공주","","충청남도 공주시 금성동 (금강교)",36,27,24.28,127,8,27.58,36.45674444,127.1409944,30120417,"본","하천",1,NA,NA,NA,1,1,1,NA,NA,"금강물환경연구소",2.21535211267606,127.1409944,36.45674444,"small"
"정안천","정안천","","3012A25","금강","금강","금강공주","","충청남도 공주시 신관동 (정안천교)",36,27,58.78,127,7,47.85,36.46632778,127.1299583,30120527,"지","하천",1,NA,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",4.93065714285714,127.1299583,36.46632778,"small"
"곰나루","곰나루","","3012A30","금강","금강","금강공주","","충청남도 공주시 웅진동 (곰나루터)",36,28,4.59,127,6,29,36.46794167,127.1080556,30120536,"본","하천",1,NA,NA,NA,NA,1,NA,NA,NA,"금강유역환경청",3.5758380952381,127.1080556,36.46794167,"large"
"금강","금강","","3012A32","금강","금강","금강공주","","충청남도 공주시 우성면 신웅리 (공주보상류500m)",36,27,43.17,127,6,6.08,36.46199167,127.1016889,30120536,"본","하천",1,NA,NA,1,NA,1,NA,NA,1,"금강물환경연구소",2.33158801498127,127.1016889,36.46199167,"large"
"유구천","유구천","유구천","3012A35","금강","금강","금강공주","","충청남도 공주시 우성면 동대리 (동대교)",36,28,5.61,127,3,4.34,36.468225,127.0512056,30120631,"지","하천",1,NA,1,NA,NA,1,NA,NA,NA,"금강물환경연구소",3.71817602996255,127.0512056,36.468225,"large"
"목면","목면","금본I","3012A37","금강","금강","금강공주","","충청남도 청양군 목면 신흥리 (신흥양수장,어천지천합류후2km)",36,22,54.78,127,0,40.16,36.38188333,127.0111556,30120802,"본","하천",NA,1,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",2.58638028169014,127.0111556,36.38188333,"small"
"공주2","공주2","","3012A40","금강","금강","금강공주","","충청남도 공주시 탄천면 분강리",36,19,48.64,126,58,16.5,36.33017778,126.97125,30120823,"본","하천",1,NA,NA,NA,NA,1,NA,NA,NA,"금강유역환경청",4.96429083665339,126.97125,36.33017778,"large"
"부여","부여","부여","3012A42","금강","금강","금강공주","","충청남도 부여군 부여읍 자왕리 (백제보 상류 500m)",36,19,19.5,126,56,39.94,36.32208333,126.9444278,30120833,"본","하천",1,NA,1,1,NA,1,NA,NA,1,"금강물환경연구소",3.60611428571429,126.9444278,36.32208333,"small"
"지천","지천","","3012A50","금강","금강","금강공주","","충청남도 청양군 장평면 구룡리 (지천교)",36,19,24.2,126,51,40,36.32338889,126.8611111,30121008,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",2.89683665338645,126.8611111,36.32338889,"large"
"지천-1","지천-1","금본J1","3012A52","금강","금강","금강공주","","충청남도 부여군 규암면 금암리 (세월교)",36,19,8.53,126,54,56.46,36.31903611,126.9156833,30121014,"지","하천",NA,1,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",2.26080555555556,126.9156833,36.31903611,"small"
"정동","정동","금본J","3012A53","금강","금강","금강공주","","충청남도 부여군 규암면 호암리 (백마강교)",36,18,3.99,126,55,25.09,36.30110833,126.9236361,30121107,"본","하천",1,1,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",1.94035458167331,126.9236361,36.30110833,"large"
"은산천","은산천","","3012A55","금강","금강","금강공주","","충청남도 부여군 규암면 모리 (모리교)",36,17,23.62,126,52,32.25,36.28989444,126.875625,30121115,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",2.22922709163347,126.875625,36.28989444,"large"
"부여1","부여1","","3012A60","금강","금강","금강공주","","충청남도 부여군 규암면 외리 (백제교)",36,16,17.72,126,53,35.16,36.27158889,126.8931,30121405,"본","하천",1,NA,NA,NA,1,1,1,NA,NA,"금강유역환경청",3.31525838926175,126.8931,36.27158889,"large"
"금천","금천","","3012A65","금강","금강","금강공주","","충청남도 부여군 장암면 석동리 (석동교)",36,14,29.3,126,53,17.95,36.24147222,126.8883194,30121215,"지","하천",1,NA,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",2.05257746478873,126.8883194,36.24147222,"small"
"부여2","부여2","","3012A70","금강","금강","금강공주","","충청남도 부여군 장암면",36,14,53.7,126,54,43.03,36.24825,126.9119528,30121406,"본","하천",1,NA,NA,NA,NA,1,NA,NA,NA,"금강유역환경청",1.8740390625,126.9119528,36.24825,"large"
"석성천-1","석성천-1","금본K1","3012A73","금강","금강","금강공주","","충청남도 부여군 초촌면 송정리 (군계교)",36,15,29.5,127,4,9.51,36.25819444,127.0693083,30121308,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.06408450704225,127.0693083,36.25819444,"small"
"석성천","석성천","","3012A75","금강","금강","금강공주","","충청남도 논산시 성동면 원북리 (경교)",36,13,57.9,127,2,4.2,36.23275,127.0345,30121312,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",2.12769014084507,127.0345,36.23275,"small"
"석성천2","석성천2","","3012A77","금강","금강","금강공주","","충청남도 부여군 석성면 석성리 (동성교)",36,12,14,126,59,48,36.20388889,126.9966667,30121319,"지","하천",NA,1,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",1.92895833333333,126.9966667,36.20388889,"small"
"성동","성동","","3012A80","금강","금강","금강공주","II","충청남도 논산시 성동면 개척리",36,10,6.06,127,0,24.88,36.16835,127.0069111,30121418,"본","하천",1,NA,NA,1,NA,1,NA,1,NA,"금강유역환경청",2.12288979591837,127.0069111,36.16835,"large"
"논산천-1","논산천-1","논산A1","3013A05","금강","금강","논산천","","충청남도 논산시 양촌면 신기리 (세월교)",36,7,0.42,127,15,38.56,36.11678333,127.2607111,30130106,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",1.63219444444444,127.2607111,36.11678333,"small"
"논산천1","논산천1","","3013A10","금강","금강","논산천","","충청남도 논산시 양촌면 신흥리 (신흥교)",36,10,12.35,127,12,13.64,36.17009722,127.2037889,30130205,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",1.71443824701195,127.2037889,36.17009722,"large"
"연산천","연산천","논산A2","3013A15","금강","금강","논산천","","충청남도 계룡시 두마면 광석리 (화악교)",36,14,32.48,127,13,45.57,36.24235556,127.229325,30130318,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.33236111111111,127.229325,36.24235556,"small"
"노성천-1","노성천-1","논산A3","3013A17","금강","금강","논산천","","충청남도 공주시 상월면 신충리 (월오교)",36,18,24.51,127,8,28.54,36.30680833,127.1412611,30130307,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",4.59372857142857,127.1412611,36.30680833,"small"
"노성천","노성천","","3013A20","금강","금강","논산천","","충청남도 논산시 광석면 항월리 (노성대교)",36,12,58.5,127,5,44.8,36.21625,127.0957778,30130323,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",2.4613085106383,127.0957778,36.21625,"large"
"논산천2","논산천2","","3013A30","금강","금강","논산천","","충청남도 논산시 대교동 (논산대교)",36,12,25.58,127,4,58.02,36.20710556,127.0827833,30130503,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",2.33328685258964,127.0827833,36.20710556,"large"
"방축천","방축천","","3013A40","금강","금강","논산천","","충청남도 논산시 채운면 장화리 (영창교)",36,10,11.8,127,3,19.7,36.16994444,127.0554722,30130505,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",3.18196414342629,127.0554722,36.16994444,"large"
"논산천4","논산천4","논산A","3013A50","금강","금강","논산천","Ib","충청남도 논산시 성동면 개척리 (강경천합류후배수장옆)",36,9,57.35,127,0,38.29,36.16593056,127.0106361,30130509,"지","하천",1,1,NA,1,1,1,1,1,NA,"금강물환경연구소",1.7754780876494,127.0106361,36.16593056,"large"
"수철천","수철천","","3013A60","금강","금강","논산천","","충청남도 논산시 연무읍 봉동리 (황화교)",36,5,53.3,127,5,46.1,36.09813889,127.0961389,30130409,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",2.08630555555556,127.0961389,36.09813889,"small"
"마산천","마산천","","3013A70","금강","금강","논산천","","전라북도 익산시 망성면 무형리 (신풍)",36,7,53.96,127,2,57.26,36.13165556,127.0492389,30130410,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강유역환경청",1.7214048582996,127.0492389,36.13165556,"large"
"강경천","강경천","","3013A80","금강","금강","논산천","","충청남도 논산시 강경읍 흥교리 (상강경교)",36,9,34.06,127,1,36.64,36.15946111,127.0268444,30130413,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강유역환경청",3.5094619047619,127.0268444,36.15946111,"large"
"강경","강경","금본K","3014A10","금강","금강","금강하구언","","충청남도 논산시 강경읍 황산리 (황산대교)",36,9,5.96,127,0,27.8,36.15165556,127.0077222,30140101,"본","하천",1,1,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",2.43441035856574,127.0077222,36.15165556,"large"
"산북천","산북천","","3014A15","금강","금강","금강하구언","","전라북도 익산시 성당면 부곡리 (연동교)",36,6,28,126,56,33,36.10777778,126.9425,30140122,"지","하천",NA,1,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",1.8068406374502,126.9425,36.10777778,"large"
"양화-1","양화-1","","3014A30","금강","금강","금강하구언","II","충청남도 부여군 양화면 내성리 (웅포대교)",36,6,15.84,126,52,30.2,36.1044,126.8750556,30140302,"본","하천",1,NA,NA,1,NA,1,NA,1,NA,"금걍유역환경청",3.48907042253521,126.8750556,36.1044,"small"
"길산천","길산천","","3014A40","금강","금강","금강하구언","","충청남도 서천군 기산면 원길리",36,4,18.6,126,43,58.7,36.07183333,126.7329722,30140206,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청남도",1.58918352059925,126.7329722,36.07183333,"large"
"길산천2","길산천2","","3014A45","금강","금강","금강하구언","","충청남도 서천군 마서면 신포리 (장신교)",36,2,44,126,44,24,36.04555556,126.74,30140207,"지","하천",NA,1,NA,NA,NA,1,NA,NA,NA,"금강물환경연구소",1.82293227091633,126.74,36.04555556,"large"
"금강갑문","금강갑문","금본L","3014A50","금강","금강","금강하구언","","충청남도 서천군 마서면 도삼리 (금강갑문교)",36,0,42.89,126,45,17.71,36.01191389,126.7549194,30140323,"본","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",1.50261904761905,126.7549194,36.01191389,"large"
